review,sentiment
Phil Alien one quirky film humour based around oddness everything rather actual punchlinesAt first odd pretty funny movie progressed didnt find joke oddness funny anymoreIts low budget film thats never problem pretty interesting character eventually lost interestI imagine film would appeal stoner currently partakingFor something similar better try Brother another planet,negative
saw movie 12 came recall scariest scene big bird eating men dangling helplessly parachute right air horror horrorAs young kid going cheesy B film Saturday afternoon still tired formula monster type movie usually included hero beautiful woman might daughter professor happy resolution monster died end didnt care much romantic angle 12 year old predictable plot love unintentional humorBut year later saw Psycho came loved star Janet Leigh bumped early film sat took notice point Since screenwriter making story make scary possible wellworn formula rule,negative
im big fan Bolls work many enjoyed movie Postal maybe im one Boll apparently bought right use Far Cry long ago even game even finsished People enjoyed killing mercs infiltrating secret research lab located tropical island warned Far Cry something Mr Boll schemed together along legion schmuck Feeling loneley set Mr Boll invite three countryman play player go name Til Schweiger Udo Kier Ralf MoellerThree name actually made self pretty big movie biz tale go like Jack Carver played Til Schweiger yes Carver German hail bratwurst eating dude However find Tils acting movie pretty badass People complained he really staying true whole Carver agenda saw carver first person perspective dont really know looked like kicking However storyline film beyond demented see evil mad scientist Dr Krieger played Udo Kier making GeneticallyMutatedsoldiers GMS called Performing topsecret research island reminds SPOILER Vancouver reason Thats right palm tree Instead got nice rich lumberjackwoods havent even gone FAR started CRY mehehe cannot go wanna stay true Bolls shenanigan go see movie disappointed delivers true Boll experience meaning suckThere thing worth mentioning would imply Boll good work area film nice boat fighting scene whole cromedalbino GMS squad enters scene everything make laugh movie Far Cry reek scheisse thats poop simpleton far wanna take wiff go ahead BTW Carver get annoying sidekick make wanna shoot first three minute he screen,negative
cast played ShakespeareShakespeare lostI appreciate trying bring Shakespeare mass ruin something goodIs Scottish Play favorite Shakespeare know know certain Rev Bowdler hence bowdlerization tried something similar Victorian eraIn word cannot improve perfectionI write write least ten line text English composition never forte keep going say movie saying go cut,negative
fantastic movie three prisoner become famous One actor george clooney Im fan roll bad Another good thing movie soundtrack man constant sorrow recommand movie everybody Greetings Bart,positive
Kind drawn erotic scene realize one amateurish unbelievable bit film Ive ever seen Sort like high school film project Rosanna Arquette thinking stock character bizarre supposed Midwest town Pretty hard get involved one lesson learned brilliant insight stilted quite ridiculous lot skin intrigue videotaped nonsenseWhat bisexual relationship nowhere heterosexual encounter absurd dance everybody playing stereotyped role Give one pas like million mile bad wasted film money could spent starving child Aids Africa,negative
film simply remade one bad film fails capture flavor terror 1963 film title Liam Neeson excellent always cast hold exception Owen Wilson bring right feel character Luke major fault version strayed far Shirley Jackson story attempt grandiose lost thrill earlier film trade snazzier special effect say bad film enjoy friction terror older version much,positive
movie made one top 10 awful movie Horrible wasnt continuous minute wasnt fight one monster another chance character development busy running one sword fight another emotional attachment except big bad machine wanted destroy Scenes blatantly stolen movie LOTR Star Wars Matrix ExamplesThe ghost scene end stolen final scene old Star Wars Yoda Obee One Vader spider machine beginning exactly like Frodo attacked spider Return Kings Elijah Wood victim film waitit hypnotizes sting victim wrap upuh helloAnd whole machine v human theme Matrixor TerminatorThere example waste time someone tell Nazis Nazis juvenile story line rushed juvenile conclusion movie could decide childrens movie adult movie wasnt much either awful real disappointment say least Save money,negative
remember filmit first film watched cinema picture dark place nervous back 7475 Dad took brother sister Newbury cinema Newbury Berkshire England recall tiger lot snow film also appearance Grizzly Adams actor Dan Haggery think one tiger get shot dy anyone know find DVD etc please let knowThe cinema turned fitness club big shame nearest cinema 20 mile away would love hear others seen film like,positive
awful film must real stinker nominated Golden Globe Theyve taken story first famous female Renaissance painter mangled beyond recognition complaint theyve taken liberty fact story good would perfectly fine simply bizarre account true story artist would made far better film come dishwaterdull script suppose werent enough naked people factual version hurriedly capped end summary artist life could saved couple hour theyd favored rest film brevity,negative
success Die Hard sequel surprise really 1990s glut Die Hard movie cashed wrong guy wrong place wrong time concept Cliffhanger Die Hard mountain time rescue Sly Stop Mom Shoot Stallones careerCliffhanger one big nitpicker dream especially expert mountain climbing basejumping aviation facial expression acting skill full excuse dismiss film one overblown pile junk Stallone even managed get outacted horse However forget nonsense actually lovable undeniably entertaining romp delivers plenty thrill unintentionally plenty laughsYouve got love John Lithgows sneery evilness tick every box band baddie best permanently harassed hapless turncoat agent Rex Linn TraversHe may Henry Portrait Serial Killer Michael Rooker noteworthy cringeworthy performance Hal insists constantly shrieking painful disbelief captor man never hurt anybody whilst surely cant really look like Ralph Waites Frank character grinning girl plummet deathMention must go former Londons Burning actor Craig Fairbrass Brit bad guy come cropper whilst using Hal Human Football yes cant help enjoy bit Hal needed good kickingSo forget better judgement care could never happen lower acting expectation turn volume enjoy youre looking Qaulen he one wearing helicopter,positive
terrible misfortune view bmovie entiretyAll say save time money got worst bmovie time shouldnt even called bmovie like fmovie fails aspect make good movie story interesting actor paperthin believable bad direction action sequence fake almost funnyalmostThe movie packed full crappy oneliners respectable person could find amusing least little bitThis movie supposed geared towards men woman utterly unattractive especially old wrinkled thing come towards end try appear sexy weird horrible costume fail miserablyEven ridiculous bmovies still give laugh painful watch,negative
absolutely stunning movie 25 hr kill watch wont regret much fun Rajnikanth carry movie shoulder although isnt anything still liked music ARRehman take time grow heard time really start liking,positive
First let get thing straight anime fan always matter fact used watch Speed Racer time Preschool b like several BMovies theyre hilarious c like Godzilla movie lotMoving movie first come seems like going usual Bmovie crappy FX sudden BOOM anime come movie go WWWAAAAAYYYYY downhillThe animation bad cheap even worse remember SPEED RACER crissakes fact cheap one scene movie vividly remember bunch kid run school kid FX terrible dinosaur look worse Godzilla addition transition live action animation unorganized dialogue voicesespecially English dub viewed horrid begging dad take tape DVD VHS player thing kept surviving cracking joke comment like robot JoelMike MST3K pick season Honestly way barely enjoy movie survive timeHeck Im planning show another fellow otaku pal mine Halloween BMovie night stupid pretty painful watch unintentionally hilarious time Im giving movie 310 improvement 0510 originally going give itAccording grading scale 310 mean Pretty much boring bad fun counting three unless find way make fun become fun counting 15,negative
worst movie saw WorldFest also received least amount applause afterwards think receiving recognition based amount known actor film great see JBeals shes movie minute MParker much better actress part allowed rest acting hard judge movie ridiculous predictable main character totally unsympathetic therefore bore watch real emotional depth story movie revolving actor cant get work doesnt feel original development cop feel like one many straighttovideo movie saw back 90 even good one standard,negative
Karen Carpenter Story show little singer Karen Carpenters complex life Though fails giving accurate fact detailsCynthia Gibb portrays Karen fine election good actress play naive sort dumb Karen Carpenter think role needed stronger character Someone stronger personalityLouise Fletcher role Agnes Carpenter terrific great job Karens motherIt great song could included soundtrack album Unfortunately werent though movie top rating USA several country,positive
Cell exotic masterpiece dizzying trip vast mind serial killer also one talented director conclusive evidence achieved human being unleash uninhibited imagination boldness work pushing aside thought fall formula cliche creating something truly magnificent best movie year dateIve read numerous complaint film anywhere style substance poorly cast character bad acting negatively criticize film miss point movie may landmark tradition future movie hopefully follow Cell opened door another world imagination slam door face tell director Tarsem Singh dont want Personally would welcome another movie Tarsem would love see someone try challenge himWeve heard talk going inside mind serial killer yes agree genre bit overworked 90 full movie trying depict make serial killer tick worked failed Cell blaze trail given new twist physically transported mind presented nothing le fascinating journey mysterious subject matter ever studiedI like movie bog u much scientific jargon trying explain Jennifer Lopez actually get enter brain another Instead lie laboratory table wrapped look like really long Twizzlers jaunted another entity Cell want let see guess thats people dont like True like explanation movie movie venture onto new ground must let desire simply take inI noticed film dark showed reality maybe contrast bright visuals inside brain another Nonetheless set design simply astonishing wouldnt surprised film took home Oscars cinematography best costume best director like itd least get nominated best pictureIve noticed Ive kind repeating there nothing else say cant stress enough fantastic thought Cell walk movie open mind taken wonder eyepopping feast assured good time guess film little much people writing weird crazy much psychology imagination human mind right alley Leaving theater heard one audience member say Whoever made movie sure lot good drug want smoking 4,positive
film tried many thing stinging political satire Hollywood blockbuster sappy romantic comedy family value promo list go failed miserably enough interest keep turning endAlthough appreciate spirit behind WAR INC depresses see clumsy effort especially taken target reflect lack existence serious critique rather simply poor writing direction production particular filmThere critique made corporatization war poking fun way diminishes true atrocity happening Reminds bit THREE KINGS similarly trivializes genuine cause concern,negative
movie frustrating Everything seemed energetic totally prepared good time least thought Id able stand wrong First weird looping like watching Americas Funniest Home Videos damn parent hated much stereotypical Latino family need speak person responsible need talk little girl always hanging someone hated mention final scene transcends must say gloriously bad full badness movie crappy dancing Horrible beautiful,negative
War movie Hollywood genre done redone many time clichd dialogue rehashed plot overthetop action sequence seem unavoidable conflict dealing largescale combat however war movie come along go grain brings truly original compelling story life silver screen Civil Warera Cold Mountain starring Jude Law Nicole Kidman Rene Zellweger filmThen calling Cold Mountain war movie entirely accurate True enough film open quite literally quickanddirty battle sequence put Glory director Edward Zwick shame However Cold Mountain much Civil War period people time story center around disgruntled Confederate soldier Inman played Jude Law becomes disgusted gruesome war homesick beautiful hamlet Cold Mountain North Carolina equally beautiful southern belle left behind Ada Monroe played Nicole Kidman first glance setup appears formulaic romantic interest back home give audience enough sympathy root reluctant soldier tribulation battlefield Indeed earlier segment film relatively unimpressive even somewhat contrivedCold Mountain soon take drastic turn though intrepid hero Inman turn deserter incidentally saving audience potentially confusing scenario wanting root Confederates begin long odyssey homeward Meanwhile back farm Adas cultured way prove little use field soon transformed something wilderbeast Coming Adas rescue course toughasnails Ruby Thewes played Rene Zellweger help Ada put farm back together perhaps importantly cope loneliness isolation war seems brought upon AdaWithin two setting vivid compelling time disturbing portrait wartorn South unfolds character Inman Ada interact surprisingly complex enhanced wonderful performance Brendan Gleeson Rubys deadbeat father Ray Winstone unrepentant southern lawman Natalie Portman deeply troubled isolated young mother greatly affected changed war Northern aggression mostly worse dark pervading antiwar message accented effective haunting score chillingly beautiful shot Virginia North Carolina communicated audience much gruesome battle scene scarred land traumatized people war fought Though weapon tactic war changed much past century hellish effect land timelessly relevantDirector Anthony Minghella manages maintain gloomy mood film atmosphere unfortunately denigrated rather tepid climax little justice wonderfully formed character love story Inman Ada awkwardly tacked onto beginning end film though inherently distant abstracted even absurd nature relationship way fit dismal nature rest plotMake mistake Cold Mountain neither trait feelgood romance inspiring war drama unique vision era sure entertain also truly absorb audience life people torn apart war entirely desperate rid terrible repercussion altogether,positive
Taut organically gripping Edward Dmytryks Crossfire distinctive suspense thriller unlikely message movie using look device noir cycleBivouacked Washington DC company soldier cope restlessness hanging bar Three end stranger apartment Robert Ryan drunk belligerent beat host Sam Levene death happens Jewish Police detective Robert Young investigates help Robert Mitchum who assigned Ryans outfit Suspicion fall second three George Cooper vanished Ryan slays third buddy Steve Brodie insure silence Young close inAbetted superior script John Paxton Dmytryk draw precise performance three starring Bobs Ryan naturally prototypical Angry White Male hilt Mitchum underplays characteristic alert nonchalance role however central Young may never better Gloria Grahame give first fullyfledged rendition smartmouthed vulnerable tramp sad sack who leeched life Paul Kelly haunt u small peripheral role make memorableThe politically engaged Dmytryk perhaps inevitably succumbs sermonizing pretty much confined Youngs reminiscence Irish grandfather died hand bigot century earlier thus incidentally stretching chronology limit least there attempt render explanation however glib Ryan hate Jews hillbilly andCuriously Crossfire survives even major change wrought upon novel based Richard Brooks Brick Foxhole dealt gaybashing murder homosexuality 1947 still Beyond Pale News Holocaust however begun emerge ash Europe Hollywood felt emboldened register protest antiSemitism studio always quaked prospect offending potential ticket buyerBut change homophobia antiSemitism work general specific dont fit smoothly victim chatting lonesome drunk young soldier inviting back home look odd even though especially since there girlfriend tow raise question whether scenario retained inadvertently left discreet tipoff original engine generating Ryans murderous rage,positive
Ardh Satya one finest film ever made Indian Cinema Directed great director Govind Nihalani one successful Hard Hitting Parallel Cinema also turned Commercial Success Even today Ardh Satya inspiration leading director IndiaThe film tell Reallife Scenario Mumbai Police 70 Unlike Police city India Mumbai Police encompasses Different system altogether Govind Nihalani creates practical Outlay real life approach Mumbai Police EnvironmentAmongst various Police officer colleague film describes story Anand Velankar young hotblooded Cop coming poor family father harsh Police Constable Anand suffers father ideology incidence father Atrocities mother Anands approach towards immediate action crime inert craving Job satisfaction film revolved Plot wherein Anands constant effort crime trampled seniorsThis lead frustration cannot achieve desired Jobsatisfaction Resulting frustration anger expressed excessive violence remand room bar also turning alcoholicThe Spirit within still alive constantly fight system aware system Metro Police Politicians inertly associated far end compromise towards unethical practice negative Finally get suspendedThe Direction master piece thoroughly hard core One best memorable scene Anand break Underworld gangster Rama Shettys house arrest followed short conversation fantastic many scene film Hairraising momentsThe Practical approach Script major Punch Alcoholism Corruption Political Influence Courage Deceptions integral part Mumbai police even today aspect dealt brilliantlyFinally film belongs One man show Om Puri portraying Anand Velankar traversing emotion absolutely brilliantly,positive
first exposure Templarios good one excited find title among offering Anchor Bay Video brought u cult classic Spider Baby print quality excellent alone cant hide fact film deadly dull Theres thrilling opening sequence villager exact terrible revenge Templars set whole thing motion everything else movie slow ponderous ultimately unfulfilling Adding insult injury movie dubbed subtitled promised video jacket,negative
One significant quote entire film pronounced halfway protagonist mafia middleman Titta Di Girolamo physically nondescript middleaged man originally Salerno Southern Italy introduced start film he living nonlife elegant sterile hotel Italianspeaking Canton Switzerland last ten year conducting business gradually introduced pivotal yet apparently unremarkable scene take place employee Swiss bank normally count Di Girolamos cash tell 10000 dollar missing usual suitcase full tightly stacked banknote news quietly icily threatens coaxing bank manager wanting close account Meanwhile tell u spectator bluff bluff right end without fear caught appearing ridiculous say cant bluff halfway tell truth eventually done bluffed halfway told truth accepted consequence life ultimately love exactly reason behind beginning Titta Di Girolamos trouble initially unsympathetic character scowling taciturn curt man verge 50 man wont even reply kind chambermaid waitress say hello goodbye becomes one point someone spectator care deeply one point nonlife Titta decides feel concern appearing ridiculous first half film may described slow indeed reveal Di Girolamos day night hotel oddly disjoined deliberate pace revealing seemingly mundane irrelevant detail However scene may seemed unnecessary reveal essential masterfully constructed innovative film unfolds eye existence Titta Di Girolamo man imagination identity life unsympathetic character unexpectedly end loving feeling least thought would also conveyed elegantly edited sequence interesting use music one theme Scottish band Boards Canada especially stood Never contrast way Hollywood Italy treat mobster odds since release film Le Conseguenze dellAmore LImbalsamatore Another interesting element way film made use protagonist insomnia unlike Machinist far explicit way Al Pacino film Insomnia Le Conseguenze dellAmore us condition symbolise deeper emotional malaise thats rammed deep obscurity unconscious almost impossible pinpoint cause indeed one young sympathetic hotel waitress Sofia played Olivia Magnani granddaughter legendary Anna memory Tittas best friend man hasnt seen 20 year unexpectedly provide tiny window onto life Titta eventually though tentatively first accepts look Though never explicitly spelt spectator KNOWS man like Titta accepting Consequences Love unimaginable consequence film without single scene sex violence film unfolds time concedes nothing spectator expectation Le Conseguenze dellAmore fine representative small quiet discreet Renaissance taking place Italian cinema since decline Cinecitt second half 70 world waiting Italy produce Il Postinolike fare La Vita Bellastyle film neglecting explore fine creation like Le Conseguenze dellAmore LImbalsamatore others loss world,positive
watched film really expecting much got pack 5 film pretty terrible way fiver could expect know right terrible movie stretching interesting point occasional camcorder view nice touch drummer like drummer ie damned annoying well thats actually problem boring assume attempt build tension whole lot nothing happens utterly tedious thumb fast forward button ready press movie gave go seriously lead singer band great looking coz dont half mention beautiful hell lot thought looked bit like meercat havent even mentioned killer Im even gonna go worth explaining Anyway far Im concerned Star London reason watch exception London actually quite funny wasnt acting talent Ive certainly seen lot worse Ive also seen lot better Best avoid unless bored watching paint dry,negative
bought film Blockbuster 300 sounded interesting bit Ranmaesque idea someone dragging around skeleton cute girl miniskirt back Restricted Viewing sticker thought going sweet least sincere coming age story weird indie edge 100 wrongHaving watched wonder got restricted sticker since hardly foul language little violence closest thing nudity Honestly dont usually go around hoping girl nightgown see panty see panty lot movie matter shes wearing miniskirt sort Even antireligious humor tame lame caricatured insincere derivative unoriginal worst funny slightestit would better listen Ray Stevens Would Jesus Wear Rolex Television Show would barely qualify PG13 Rated Blockbuster refuse let anyone age 17 rent thisas pornographic little kid could go rent edited version Requiem Dream insist Zack Reba worseIt wayIn way worry methe thing left could offend people idea suicide beginning anybody need see movie honestly portrayed suicide one better one like Virgin Suicides teenager movie rated R purely suicide aspect little chance turning story Ive writing PG13 movie main character eleven half twelve Suicide one top three leading cause death teenager think number 2 chance teen affected itJust say movie though 210,negative
plot death little child Hopper one investigate killing movie appears trouble daughter end serial killer get caught Thats find dunnit see terrible acting actor unbelievable bad actor including Hopper could go like much waste time dont watch movie Ive warned,negative
Ever watched movie lost plot Well didnt even really one begin withWhere begin achingly tedious scene heroine sitting around house actually sense menace even foreboding created even apparently constant thunderstorm strangely never actually heard housegreat double glazing house apparently mile town yet several hour walk away third girl serf purpose plot except provide surprisingly quick gory murder tedium becomes unbearable even beginning suggests spate 20 killing throughout area even though apparent killer never venture far house bizarre ritual salt pepper pretty much sum film inherent lack directionAdd lead actress cant act least willing completely irrelevant nude shower scene video truly nasty way hopeGiven following simply banned UK 80 mostly final surprisingly extended murder offer nothing curiosity value one classic daft murder dont worryits telegraphed least ten minute beforeAfter walk wood victim come rather steep upward slope obviously struggle Halfway see figure top dressed black brandishing large scythe Slide run like rest u course struggle top stand conveniently nice upright front murder weaponIt really movie say,negative
Okay series kind take route go Week week David Morses character help ride bit pickle whats wrong David Morse one greatest character actor certainly coolest series created David Koepp great writer heavenDue lack love show many cant see going season series never know amount rubbish made beyond baffle let hope something good make past first series,positive
sitting pile dung husband wondered whether actually product experiment see whether computer program could produce movie listless formulaic US propaganda thrown face throughout film provesdisappointinglythat work human Call conspiracy theorist quote like steal Declaration Independence protect seem like way justify action like invasion Iraq etc fact Nicholas Cage spews line like would never use Declaration Independence bargaining chip straight face made husband wonder whether entire cast took Valium shooting scene reasoning behind plot turn new clue truly ridiculous impossible follow there also bonus side plot misogyny Dr WhateverHerNameWas chided involved never shutting Shes clearly movie look felt need slap Dr title character give gravity one point Cages character say Dont ever shut camera pan looking poutily hand like shes child Truly grotesque benefit movie astonishingly bad get laugh really scary thing majority people watching movie u seemed enjoy Creepy,negative
clichs movie type substance plot went nowhere end movie felt like sucker watching production good however script acting Bmovie quality casting poor good actor mixed crumby actor good actor didnt hold lift others movie worthy word say meet minimum requirement ten line James Wood Cuba Gooding Jr play caricature movie looking mindless entertainment still wouldnt recommend movie,negative
movie based book Many Splendored Thing Han Suyin tackle issue race relation Asians Whites topic come Hans personal experience Eurasian growing China background beautiful Hong Kong setting give love story unique rather daring atmosphere timeOther story stereotypical romance memorable song perhaps remembered movie beautiful Jennifer Jones look part give wonderful Oscar nominated performance doctor mixed breed advent Communism mainland China William Holden never looked better playing romantic lead journalist covering war torn region world acting top notch chemistry two lover provides genuine moment silver screen affection sure melt heart romantically inclinedThe cinematography really brings fifty Hong Kong especially hilltop overlooking harbor two lover spend intimate moment ending real tearjerker may consider sentimental romance pas enjoy classic Hollywood love story shining example,positive
film seen one Rage got one worst yet direction LOGIC continuity change plotscript dialog made cry pain could ANYONE come something crappy Gary Busey know B movie sure W movie WwasteTake example two dozen FBI local law officer surround trailer house jeep wagoneer Inside jeep confused cop Within second huge gun battle ensues killed straight cop blast away jeep gary company blasting away cop fall like domino jeep Gary drive around circle hit one single bulletpellet killed gary seems noticeddamn guy tough Truly miracle since sixshooter held 300 bullet miracle,negative
heard good thing States Grace came open mind thought Gods Army okay thought maybe Dutcher improved matured filmmaker film began shaky acting thought well maybe get better Unfortunately never picture start introducing two elder Mormon missionary seems audience get know grow care Instead story degenerate highly improbable series unfortunate event highlighting blatant disobedience missionary something undeniably exists rarely level Dutcher portrays becomes almost laughableDutchers success movie successful alienation target audience unrealistically inaccurately portraying life Mormon missionary Dutcher accomplishes nothing angering predominantly Mormon audience film way reflects reality Missions nothing like Dutcher show served Mormon mission attest fact gang life California certainly contains much explicit language occasional mild vulgarityThe conclusion Im assuming supposed touch audience inspire believe forgiveness available unbelievable cmon entire mission gather see elder sent home mom girl standing right next cheesy Next time Dutcher try making movie SOMEONE identify,negative
movie struck home 29 remember 80 father working factory figured worked hard pride never gave could American Dream house kid car call Ive noted however without degree something unlike father quit ninth grade keen sense greed laziness cant get anywhereI would like know anyone movie DVD VHS made TV saw hour ago Ic ant find anywhere Id love show friend pseudo friend family relative see think remind upon time Americans WOULD work sake feeling honor pride accomplished think feeling still heavy downward spiral many thing made overseas,positive
disclaimer Ive seen movie 56 time last 15 year saw musical week allowed judge movie without tainted wasnt musical however tainted watched musical actually believe Michael Douglas worked quite well role along Kasey think Let dance scene one best part movie worthwhile addition compared musical dancer singing movie much superior musical well cast least 10 time bigger easier movie course decor lighting dancing singing also much superior movie expected indeed delivered song common musical better done movie new one quite good one whole movie delivers musical opinion especially compared musical decor one bad point movie obvious cut actor talking dubbed singer singing portion character dancing impeccable end product enjoyable musical,positive
Protocol implausible movie whose saving grace star Goldie Hawn along good cast supporting actor story revolves around ditzy cocktail waitress becomes famous inadvertently saving life Arab dignitary story go downhill halfway movie Goldies charm doesnt save movie Unless Goldie Hawn fan dont go way see film,negative
film could classified Drama idea John Voight Mary Steenburgen would trying erase CV historically accurate Xena Hercules Abraham Moses got melded Noah Lot Abrahams nephew Lot turn thousand year would born Canaanites wandered earthreally scriptwriter thinking ignorance remember something Noah animal Lot Canaanites stuff Sunday School trying offend maximum number people planet possible Christians Jews Muslims historian archaeologist geologist psychologist linguist matter fact anyone get offended Anyone even modicum taste would winced one,negative
Preston Sturgis POWER GLORY unseen public nearly twenty thirty year late 1990s resurfaced even showed television meantime gained notoriety Pauline Kaels CITIZEN KANE BOOK suggested Herman Mankiewicz Orson Welles screenplay KANE based Sturgis screenplay mentioned beginning thread film IMDb web site Kael overstated caseThere six narrator take turn dealing life Charles Foster Kane newsreel representing Ralston Henry Luce clone Thatchers memoir Bernstein Jed Leland Susan Alexander Kane Raymond butler different slant Kane reflecting faith disappointment hatred man course also reveals failing telling version Kanes story method also lead frequent overlapping retellings incidentThis situation POWER GLORY Yes like KANE legendary business leader Tom Garner Spencer Tracy man rose bottom head successful railroad system country two narrator Garners right hand man Henry Ralph Morgan wife Sarah Padden restricts nearly three dimensional view get time Kane Garner Henry narrates talking bos friend respected loved wife like voice skeptical public see flaw HenryTypical example Although worked way Tom becomes antilabor later year Unions troublemaker care slowed shenanigan Henry describes Toms confrontation Union major walkout preoccupied detriment home life Henrys wife reminds Tom used scab violence end strike apparently blowing Unions headquarters killing many people two view man one pure white one pure blackIm really knocking POWER GLORY duplicating KANEs success film including Orson Welles film aware story presented well enough hold one interest end thanks performance Tracy Colleen Moore wife Sally tragedy worldly success pair fully brought homeWhen marry Tom want well part give wife family benefit never America great business success come cost Tom get deeply involved running railroad empire expands improves constantly take away home much loses touch Sally also notice Eve Helen Vinson younger woman becomes mistress Sally learns unfaithful behavior destroys herSimilarly Tom get full shock make martyr eye Henry Eve marries Tom present son turn Eves son Toms son Tom Jr Philip Trent discovery incestuous cuckolding cause Tom shoot himselfThe film total success action jump time unconvincingly Yet make business seem real note scene Tom tell Board Directors plan purchase small rival train line discus use debenture financing plan Sturgis came wealthy background could bring type detail whole first rate film CITIZEN KANE perhaps interest movie lover attempt business realism social commentary Depression America,positive
Average surprisingly tame Fulci giallo mean still quite bad normal standard redeemed solid buildup nice touch neat time twist issue vision clairvoyanceThe genre wellknown weakness full gear banal dialogue wooden acting illogical plot point finale go much long denouement prof rather lame shall say limp affairFulcis ironic handling giallo norm amusing though Yellow clue wherever look3 10 limping killer,negative
